attack_code,attack_name,attack_category,rank,defense_code,defense_name,defense_category,matchup_score,explicit_match,reference_score_0_5,final_score_0_10,counter_gain_0_10,fail_loss_0_10,reason,source,confidence,remark
A11,五连踢,组合技,1,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,一退再退，等其力竭,表2_攻防克制表,高,
A11,五连踢,组合技,2,D22,挡→撤→绕,composite,80.0,1,4.0,8.0,6.0,6.0,唯一复合退防解法,表2_攻防克制表,中,
A11,五连踢,组合技,3,D16,步点调整,balance,80.0,1,4.0,8.0,5.0,6.0,连续碎步化解压迫,表2_攻防克制表,中,
A08,低扫腿,腿法,1,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,跳出扫腿半径是最佳解法,表2_攻防克制表,高,
A08,低扫腿,腿法,2,D04,下压格挡,block,100.0,1,5.0,10.0,2.0,7.0,完美封堵下盘横扫,表2_攻防克制表,高,
A08,低扫腿,腿法,3,D22,挡→撤→绕,composite,80.0,1,4.0,8.0,6.0,6.0,标准的退防动作,表2_攻防克制表,中,
A06,侧踢,腿法,1,D09,转身闪避,evade,100.0,1,5.0,10.0,4.0,8.0,顺应冲击力方向旋转卸力,表2_攻防克制表,高,
A06,侧踢,腿法,2,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,退避三舍，避其锋芒最安全,表2_攻防克制表,高,
A06,侧踢,腿法,3,D17,受控倒地,ground,100.0,1,5.0,10.0,0.0,10.0,如果逃不掉，主动受控倒地免受硬伤,表2_攻防克制表,中,
A13,倒地反击,特殊技,1,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,拉开距离让对方在地上空挥,表2_攻防克制表,高,
A13,倒地反击,特殊技,2,D18,快速起身,ground,100.0,1,5.0,10.0,2.0,8.0,若双方倒地，我方快速起身即占优,表2_攻防克制表,高,
A13,倒地反击,特殊技,3,D19,倒地防御,ground,100.0,0,5.0,10.0,0.0,9.0,地面缠斗防御,表2_攻防克制表,中,
A12,冲撞,特殊技,1,D10,滑步环绕,evade,100.0,1,5.0,10.0,9.0,7.0,一旦绕开，对方背门大开,表2_攻防克制表,高,
A12,冲撞,特殊技,2,D09,转身闪避,evade,100.0,1,5.0,10.0,4.0,8.0,斗牛士动作，顺势旋身完美避让,表2_攻防克制表,高,
A12,冲撞,特殊技,3,D14,重心补偿,balance,80.0,1,4.0,8.0,0.0,8.0,拼电机扭矩强行顶牛,表2_攻防克制表,中,
A05,前踢,腿法,1,D20,闪→挡→反,composite,100.0,1,5.0,10.0,7.0,8.0,侧闪接反击是破腿法核心,表2_攻防克制表,高,
A05,前踢,腿法,2,D06,左右侧闪,evade,100.0,1,5.0,10.0,6.0,9.0,直线攻击最怕横向规避,表2_攻防克制表,高,
A05,前踢,腿法,3,D02,单手拍挡,block,100.0,1,5.0,10.0,3.0,6.0,顺势外拨可使对方失去平衡,表2_攻防克制表,高,
A02,勾拳,拳法,1,D21,潜→闪→踢,composite,100.0,1,5.0,10.0,8.0,9.0,复合连招，完美反制高位勾拳,表2_攻防克制表,中,
A02,勾拳,拳法,2,D07,下潜闪避,evade,100.0,1,5.0,10.0,5.0,8.5,低头下潜完美躲避高位弧线,表2_攻防克制表,高,
A02,勾拳,拳法,3,D03,肘挡,block,100.0,1,5.0,10.0,2.0,5.0,护头胸侧面，完美防勾拳,表2_攻防克制表,高,
A07,回旋踢,腿法,1,D21,潜→闪→踢,composite,100.0,1,5.0,10.0,8.0,9.0,下潜躲过直接反踢支撑腿，绝杀！,表2_攻防克制表,高,
A07,回旋踢,腿法,2,D07,下潜闪避,evade,100.0,1,5.0,10.0,5.0,8.5,低头完美躲避高位扫踢！,表2_攻防克制表,高,
A07,回旋踢,腿法,3,D12,沉身防御,stance,100.0,1,5.0,10.0,1.0,3.0,降重心底盘死守，完美规避高位,表2_攻防克制表,高,
A10,拳腿组合,组合技,1,D22,挡→撤→绕,composite,100.0,1,5.0,10.0,6.0,6.0,教科书式的破连招退防,表2_攻防克制表,高,
A10,拳腿组合,组合技,2,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,脱离连段距离是唯一解,表2_攻防克制表,高,
A10,拳腿组合,组合技,3,D20,闪→挡→反,composite,80.0,1,4.0,8.0,7.0,8.0,防住一套接反击,表2_攻防克制表,高,
A04,摆拳,拳法,1,D22,挡→撤→绕,composite,100.0,1,5.0,10.0,6.0,6.0,硬抗后撤步拉开，摆拳最佳克星,表2_攻防克制表,高,
A04,摆拳,拳法,2,D07,下潜闪避,evade,100.0,1,5.0,10.0,5.0,8.5,低头完美规避横扫高位,表2_攻防克制表,高,
A04,摆拳,拳法,3,D03,肘挡,block,80.0,1,4.0,8.0,2.0,5.0,有效保护侧头部,表2_攻防克制表,高,
A01,直拳,拳法,1,D06,左右侧闪,evade,100.0,1,5.0,10.0,6.0,9.0,完美规避直线攻击并让出身位,表2_攻防克制表,高,
A01,直拳,拳法,2,D02,单手拍挡,block,100.0,1,5.0,10.0,3.0,6.0,改变攻击轨迹，防守效率极高,表2_攻防克制表,高,
A01,直拳,拳法,3,D20,闪→挡→反,composite,100.0,0,5.0,10.0,7.0,8.0,高端复合防守，完美克制,表2_攻防克制表,中,
A03,组合拳,拳法,1,D05,钳制格挡,block,100.0,1,5.0,10.0,8.0,9.0,直接锁死对方双臂中断连击,表2_攻防克制表,高,
A03,组合拳,拳法,2,D22,挡→撤→绕,composite,100.0,1,5.0,10.0,6.0,6.0,边退边防是标准答案,表2_攻防克制表,高,
A03,组合拳,拳法,3,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,拉开距离，让对方打空力竭,表2_攻防克制表,高,
A09,膝撞,腿法,1,D08,后跳/撤步,evade,100.0,1,5.0,10.0,2.0,5.0,膝撞极短，撤步即空,表2_攻防克制表,高,
A09,膝撞,腿法,2,D04,下压格挡,block,100.0,1,5.0,10.0,2.0,7.0,双手下压完美锁死膝盖上提空间,表2_攻防克制表,高,
A09,膝撞,腿法,3,D10,滑步环绕,evade,80.0,1,4.0,8.0,9.0,7.0,近战侧绕收益高,表2_攻防克制表,中,
