step_index,time_left_sec,phase,my_decision_type,my_action_key,opp_decision_type,opp_action_key,reward_my,reward_opp,my_hp_proxy,my_stability,my_energy,my_posture,opp_hp_proxy,opp_stability,opp_energy,opp_posture,distance,initiative,info_case
1,299.335,normal,attack,A06,attack,A06,15.596321428571429,15.596321428571429,84.513,81.63875,95.86571428571429,standing,84.513,81.63875,95.86571428571429,standing,mid,neutral,my_attack_vs_opp_attack
2,298.66999999999996,normal,attack,A06,attack,A06,15.596321428571429,15.596321428571429,69.02600000000001,63.2775,91.73142857142858,standing,69.02600000000001,63.2775,91.73142857142858,standing,mid,neutral,my_attack_vs_opp_attack
3,298.00499999999994,normal,attack,A06,attack,A06,15.596321428571429,15.596321428571429,53.53900000000001,44.916250000000005,87.59714285714287,standing,53.53900000000001,44.916250000000005,87.59714285714287,standing,mid,neutral,my_attack_vs_opp_attack
4,297.3399999999999,normal,attack,A06,attack,A06,15.596321428571429,15.596321428571429,38.05200000000001,26.555000000000007,83.46285714285716,off_balance,38.05200000000001,26.555000000000007,83.46285714285716,off_balance,mid,neutral,my_attack_vs_opp_attack
5,296.8399999999999,normal,attack,A05,attack,A05,9.71097619047619,9.71097619047619,28.347466666666673,15.492833333333339,80.87428571428573,off_balance,28.347466666666673,15.492833333333339,80.87428571428573,off_balance,mid,neutral,my_attack_vs_opp_attack
6,296.3399999999999,normal,attack,A05,attack,A05,9.71097619047619,9.71097619047619,18.64293333333334,4.4306666666666725,78.2857142857143,downed,18.64293333333334,4.4306666666666725,78.2857142857143,downed,mid,neutral,my_attack_vs_opp_attack
7,295.5399999999999,normal,recover,,recover,,0.0,0.0,18.64293333333334,6.9306666666666725,79.0857142857143,downed,18.64293333333334,6.9306666666666725,79.0857142857143,downed,far,neutral,neutral_or_recovery
8,294.7399999999999,normal,recover,,recover,,0.0,0.0,18.64293333333334,9.430666666666673,79.8857142857143,downed,18.64293333333334,9.430666666666673,79.8857142857143,downed,far,neutral,neutral_or_recovery
9,293.9399999999999,normal,recover,,recover,,0.0,0.0,18.64293333333334,11.930666666666673,80.6857142857143,off_balance,18.64293333333334,11.930666666666673,80.6857142857143,off_balance,far,neutral,neutral_or_recovery
10,293.4399999999999,normal,attack,A05,attack,A05,9.71097619047619,9.71097619047619,8.938400000000005,0.8685000000000063,78.09714285714287,downed,8.938400000000005,0.8685000000000063,78.09714285714287,downed,mid,neutral,my_attack_vs_opp_attack
11,292.6399999999999,normal,recover,,recover,,0.0,0.0,8.938400000000005,3.3685000000000063,78.89714285714287,downed,8.938400000000005,3.3685000000000063,78.89714285714287,downed,far,neutral,neutral_or_recovery
12,291.83999999999986,normal,recover,,recover,,0.0,0.0,8.938400000000005,5.868500000000006,79.69714285714286,downed,8.938400000000005,5.868500000000006,79.69714285714286,downed,far,neutral,neutral_or_recovery
13,291.03999999999985,normal,recover,,recover,,0.0,0.0,8.938400000000005,8.368500000000006,80.49714285714286,downed,8.938400000000005,8.368500000000006,80.49714285714286,downed,far,neutral,neutral_or_recovery
14,290.23999999999984,normal,recover,,recover,,0.0,0.0,8.938400000000005,10.868500000000006,81.29714285714286,off_balance,8.938400000000005,10.868500000000006,81.29714285714286,off_balance,far,neutral,neutral_or_recovery
15,289.73999999999984,finished,attack,A05,attack,A05,9.71097619047619,9.71097619047619,0.0,0.0,78.70857142857143,downed,0.0,0.0,78.70857142857143,downed,far,neutral,my_attack_vs_opp_attack
