experiment,scoreline,count,ratio
q4_bo3_greedy_vs_greedy,1:2,13,0.26
q4_bo3_greedy_vs_greedy,0:2,11,0.22
q4_bo3_greedy_vs_greedy,2:0,11,0.22
q4_bo3_greedy_vs_greedy,2:1,15,0.3
q4_bo3_greedy_vs_simple_rule,1:2,3,0.06
q4_bo3_greedy_vs_simple_rule,2:0,23,0.46
q4_bo3_greedy_vs_simple_rule,2:1,24,0.48
q4_bo3_greedy_vs_protective,2:0,47,0.94
q4_bo3_greedy_vs_protective,2:1,3,0.06
q4_bo3_greedy_vs_momentum,2:0,44,0.88
q4_bo3_greedy_vs_momentum,2:1,5,0.1
q4_bo3_greedy_vs_momentum,1:2,1,0.02
q4_bo3_greedy_vs_risk_aware,2:1,14,0.28
q4_bo3_greedy_vs_risk_aware,2:0,14,0.28
q4_bo3_greedy_vs_risk_aware,1:2,13,0.26
q4_bo3_greedy_vs_risk_aware,0:2,9,0.18
q4_bo3_simple_rule_vs_simple_rule,1:2,22,0.44
q4_bo3_simple_rule_vs_simple_rule,2:0,2,0.04
q4_bo3_simple_rule_vs_simple_rule,2:1,22,0.44
q4_bo3_simple_rule_vs_simple_rule,0:2,4,0.08
q4_bo3_simple_rule_vs_protective,2:1,27,0.54
q4_bo3_simple_rule_vs_protective,2:0,23,0.46
q4_bo3_simple_rule_vs_momentum,1:2,34,0.68
q4_bo3_simple_rule_vs_momentum,2:1,8,0.16
q4_bo3_simple_rule_vs_momentum,2:0,6,0.12
q4_bo3_simple_rule_vs_momentum,0:2,2,0.04
q4_bo3_simple_rule_vs_risk_aware,0:2,25,0.5
q4_bo3_simple_rule_vs_risk_aware,2:1,2,0.04
q4_bo3_simple_rule_vs_risk_aware,1:2,22,0.44
q4_bo3_simple_rule_vs_risk_aware,2:0,1,0.02
q4_bo3_protective_vs_protective,0:0,50,1.0
q4_bo3_protective_vs_momentum,1:2,26,0.52
q4_bo3_protective_vs_momentum,0:2,24,0.48
q4_bo3_protective_vs_risk_aware,0:2,42,0.84
q4_bo3_protective_vs_risk_aware,1:2,8,0.16
q4_bo3_momentum_vs_momentum,2:0,15,0.3
q4_bo3_momentum_vs_momentum,2:1,12,0.24
q4_bo3_momentum_vs_momentum,0:2,13,0.26
q4_bo3_momentum_vs_momentum,1:2,10,0.2
q4_bo3_momentum_vs_risk_aware,0:2,34,0.68
q4_bo3_momentum_vs_risk_aware,1:2,12,0.24
q4_bo3_momentum_vs_risk_aware,2:1,3,0.06
q4_bo3_momentum_vs_risk_aware,2:0,1,0.02
q4_bo3_risk_aware_vs_risk_aware,1:2,10,0.2
q4_bo3_risk_aware_vs_risk_aware,2:0,13,0.26
q4_bo3_risk_aware_vs_risk_aware,0:2,14,0.28
q4_bo3_risk_aware_vs_risk_aware,2:1,13,0.26
