experiment,series_win_reason,count,ratio
q4_bo3_greedy_vs_greedy,bo3_score,50,1.0
q4_bo3_greedy_vs_simple_rule,bo3_score,50,1.0
q4_bo3_greedy_vs_protective,bo3_score,50,1.0
q4_bo3_greedy_vs_momentum,bo3_score,50,1.0
q4_bo3_greedy_vs_risk_aware,bo3_score,50,1.0
q4_bo3_simple_rule_vs_simple_rule,bo3_score,50,1.0
q4_bo3_simple_rule_vs_protective,bo3_score,50,1.0
q4_bo3_simple_rule_vs_momentum,bo3_score,50,1.0
q4_bo3_simple_rule_vs_risk_aware,bo3_score,50,1.0
q4_bo3_protective_vs_protective,bo3_completed,50,1.0
q4_bo3_protective_vs_momentum,bo3_score,50,1.0
q4_bo3_protective_vs_risk_aware,bo3_score,50,1.0
q4_bo3_momentum_vs_momentum,bo3_score,50,1.0
q4_bo3_momentum_vs_risk_aware,bo3_score,50,1.0
q4_bo3_risk_aware_vs_risk_aware,bo3_score,50,1.0
