experiment,description,my_policy,opp_policy,single_winner,single_reason,single_rounds_played,single_final_scoreline,single_my_round_wins,single_opp_round_wins,single_my_fault_level,single_opp_fault_level,single_resource_usage_count,n_runs,my_series_win_rate,opp_series_win_rate,draw_series_rate,avg_rounds_played,resource_usage_reset_total,resource_usage_timeout_total,resource_usage_repair_total
q4_bo3_greedy_vs_greedy,BO3: greedy 对 greedy,greedy_q3_policy,greedy_q3_policy,my,bo3_score,3,2:1,2,1,minor,critical,2,50,0.52,0.48,0.0,2.56,68,57,23
q4_bo3_greedy_vs_simple_rule,BO3: greedy 对 simple_rule,greedy_q3_policy,simple_rule_policy,my,bo3_score,3,2:1,2,1,minor,critical,3,50,0.94,0.06,0.0,2.54,54,57,41
q4_bo3_greedy_vs_protective,BO3: greedy 对 protective,greedy_q3_policy,protective_q3_policy,my,bo3_score,2,2:0,2,0,healthy,critical,1,50,1.0,0.0,0.0,2.06,8,35,6
q4_bo3_greedy_vs_momentum,BO3: greedy 对 momentum,greedy_q3_policy,momentum_q3_policy,my,bo3_score,2,2:0,2,0,healthy,minor,4,50,0.98,0.02,0.0,2.12,32,51,36
q4_bo3_greedy_vs_risk_aware,BO3: greedy 对 risk_aware,greedy_q3_policy,risk_aware_q3_policy,my,bo3_score,3,2:1,2,1,minor,critical,2,50,0.56,0.44,0.0,2.58,64,68,22
q4_bo3_simple_rule_vs_simple_rule,BO3: simple_rule 对 simple_rule,simple_rule_policy,simple_rule_policy,opp,bo3_score,3,1:2,1,2,major,minor,4,50,0.48,0.52,0.0,2.88,51,74,58
q4_bo3_simple_rule_vs_protective,BO3: simple_rule 对 protective,simple_rule_policy,protective_q3_policy,my,bo3_score,2,2:0,2,0,minor,critical,1,50,1.0,0.0,0.0,2.54,10,46,52
q4_bo3_simple_rule_vs_momentum,BO3: simple_rule 对 momentum,simple_rule_policy,momentum_q3_policy,my,bo3_score,3,2:1,2,1,minor,critical,3,50,0.28,0.72,0.0,2.84,32,72,69
q4_bo3_simple_rule_vs_risk_aware,BO3: simple_rule 对 risk_aware,simple_rule_policy,risk_aware_q3_policy,opp,bo3_score,3,1:2,1,2,minor,minor,3,50,0.06,0.94,0.0,2.48,51,66,32
q4_bo3_protective_vs_protective,BO3: protective 对 protective,protective_q3_policy,protective_q3_policy,draw,bo3_completed,3,0:0,0,0,healthy,healthy,0,50,0.0,0.0,1.0,3.0,0,0,0
q4_bo3_protective_vs_momentum,BO3: protective 对 momentum,protective_q3_policy,momentum_q3_policy,opp,bo3_score,3,1:2,1,2,major,major,2,50,0.0,1.0,0.0,2.52,26,24,44
q4_bo3_protective_vs_risk_aware,BO3: protective 对 risk_aware,protective_q3_policy,risk_aware_q3_policy,opp,bo3_score,2,0:2,0,2,critical,healthy,1,50,0.0,1.0,0.0,2.16,6,43,14
q4_bo3_momentum_vs_momentum,BO3: momentum 对 momentum,momentum_q3_policy,momentum_q3_policy,my,bo3_score,3,2:1,2,1,minor,major,5,50,0.54,0.46,0.0,2.44,31,64,63
q4_bo3_momentum_vs_risk_aware,BO3: momentum 对 risk_aware,momentum_q3_policy,risk_aware_q3_policy,opp,bo3_score,2,0:2,0,2,major,healthy,1,50,0.08,0.92,0.0,2.3,35,53,37
q4_bo3_risk_aware_vs_risk_aware,BO3: risk_aware 对 risk_aware,risk_aware_q3_policy,risk_aware_q3_policy,my,bo3_score,3,2:1,2,1,minor,critical,2,50,0.52,0.48,0.0,2.48,50,70,23
